ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0042254	ribosome biogenesis	89	32	AFUB_005180,AFUB_005660,AFUB_010180,AFUB_010410,AFUB_013060,AFUB_018850,AFUB_021840,AFUB_022580,AFUB_028500,AFUB_029210,AFUB_032720,AFUB_035810,AFUB_038030,AFUB_042680,AFUB_050290,AFUB_052390,AFUB_054070,AFUB_059900,AFUB_061170,AFUB_062970,AFUB_064590,AFUB_064630,AFUB_064720,AFUB_065290,AFUB_070250,AFUB_077090,AFUB_082720,AFUB_082860,AFUB_083330,AFUB_089980,AFUB_090410,AFUB_093670,	36.0	5.22	8.02	1.0208095011e-15	8.61563218929e-13	8.61563218929e-13
GO:0022613	ribonucleoprotein complex biogenesis	114	32	AFUB_005180,AFUB_005660,AFUB_010180,AFUB_010410,AFUB_013060,AFUB_018850,AFUB_021840,AFUB_022580,AFUB_028500,AFUB_029210,AFUB_032720,AFUB_035810,AFUB_038030,AFUB_042680,AFUB_050290,AFUB_052390,AFUB_054070,AFUB_059900,AFUB_061170,AFUB_062970,AFUB_064590,AFUB_064630,AFUB_064720,AFUB_065290,AFUB_070250,AFUB_077090,AFUB_082720,AFUB_082860,AFUB_083330,AFUB_089980,AFUB_090410,AFUB_093670,	28.1	4.07	5.55	2.62093681141e-12	1.10603533441e-09	2.21207066883e-09
GO:0006364	rRNA processing	55	20	AFUB_005180,AFUB_005660,AFUB_010410,AFUB_018850,AFUB_021840,AFUB_022580,AFUB_035810,AFUB_038030,AFUB_042680,AFUB_050290,AFUB_052390,AFUB_062970,AFUB_064590,AFUB_064630,AFUB_064720,AFUB_065290,AFUB_070250,AFUB_077090,AFUB_082720,AFUB_090410,	36.4	5.27	7.99	2.12991292804e-10	5.99215503756e-08	1.79764651127e-07
GO:0016072	rRNA metabolic process	56	20	AFUB_005180,AFUB_005660,AFUB_010410,AFUB_018850,AFUB_021840,AFUB_022580,AFUB_035810,AFUB_038030,AFUB_042680,AFUB_050290,AFUB_052390,AFUB_062970,AFUB_064590,AFUB_064630,AFUB_064720,AFUB_065290,AFUB_070250,AFUB_077090,AFUB_082720,AFUB_090410,	35.7	5.18	7.77	3.10388728145e-10	6.54920216385e-08	2.61968086554e-07
GO:0055085	transmembrane transport	587	78	AFUB_000270,AFUB_003120,AFUB_003610,AFUB_005210,AFUB_005390,AFUB_009810,AFUB_012090,AFUB_012320,AFUB_014040,AFUB_016830,AFUB_020060,AFUB_020800,AFUB_022920,AFUB_025700,AFUB_026700,AFUB_033030,AFUB_033520,AFUB_033970,AFUB_034590,AFUB_036980,AFUB_037680,AFUB_041130,AFUB_041930,AFUB_044920,AFUB_045500,AFUB_045800,AFUB_046340,AFUB_046850,AFUB_046860,AFUB_047000,AFUB_047020,AFUB_048030,AFUB_049180,AFUB_049370,AFUB_050080,AFUB_051330,AFUB_052780,AFUB_054280,AFUB_057300,AFUB_059550,AFUB_060870,AFUB_060880,AFUB_060940,AFUB_062330,AFUB_065970,AFUB_066140,AFUB_066310,AFUB_066680,AFUB_067100,AFUB_067200,AFUB_069990,AFUB_070810,AFUB_071880,AFUB_075760,AFUB_079760,AFUB_081040,AFUB_081190,AFUB_081210,AFUB_081250,AFUB_081390,AFUB_083070,AFUB_087020,AFUB_087490,AFUB_091490,AFUB_091700,AFUB_095570,AFUB_096340,AFUB_096480,AFUB_096520,AFUB_096840,AFUB_097080,AFUB_097110,AFUB_099430,AFUB_099540,AFUB_100160,AFUB_100400,AFUB_101100,AFUB_102050,	13.3	1.93	2.26	5.63319233092e-09	9.5088286546e-07	4.7544143273e-06
GO:0006865	amino acid transport	57	17	AFUB_027130,AFUB_037680,AFUB_041130,AFUB_046850,AFUB_049180,AFUB_049370,AFUB_051330,AFUB_052780,AFUB_062330,AFUB_065970,AFUB_066140,AFUB_067200,AFUB_081190,AFUB_081390,AFUB_087020,AFUB_097110,AFUB_099540,	29.8	4.33	5.9	1.44847951698e-07	1.86339652362e-05	0.000122251671233
GO:0003333	amino acid transmembrane transport	51	16	AFUB_037680,AFUB_041130,AFUB_046850,AFUB_049180,AFUB_049370,AFUB_051330,AFUB_052780,AFUB_062330,AFUB_065970,AFUB_066140,AFUB_067200,AFUB_081190,AFUB_081390,AFUB_087020,AFUB_097110,AFUB_099540,	31.4	4.55	6.34	1.54547105039e-07	1.86339652362e-05	0.000130437756653
GO:0034470	ncRNA processing	116	24	AFUB_005180,AFUB_005660,AFUB_005780,AFUB_010410,AFUB_014310,AFUB_018850,AFUB_021840,AFUB_022580,AFUB_035810,AFUB_038030,AFUB_042680,AFUB_050290,AFUB_050380,AFUB_052390,AFUB_062970,AFUB_064590,AFUB_064630,AFUB_064720,AFUB_065290,AFUB_070250,AFUB_077090,AFUB_082720,AFUB_090410,AFUB_096060,	20.7	3.0	3.65	8.57246173247e-07	9.04394712776e-05	0.00072351577022
GO:1903825	organic acid transmembrane transport	58	16	AFUB_037680,AFUB_041130,AFUB_046850,AFUB_049180,AFUB_049370,AFUB_051330,AFUB_052780,AFUB_062330,AFUB_065970,AFUB_066140,AFUB_067200,AFUB_081190,AFUB_081390,AFUB_087020,AFUB_097110,AFUB_099540,	27.6	4.0	5.28	1.09502838665e-06	9.2420395833e-05	0.00092420395833
GO:1905039	carboxylic acid transmembrane transport	58	16	AFUB_037680,AFUB_041130,AFUB_046850,AFUB_049180,AFUB_049370,AFUB_051330,AFUB_052780,AFUB_062330,AFUB_065970,AFUB_066140,AFUB_067200,AFUB_081190,AFUB_081390,AFUB_087020,AFUB_097110,AFUB_099540,	27.6	4.0	5.28	1.09502838665e-06	9.2420395833e-05	0.00092420395833
