ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016042	lipid catabolic process	46	9	AFUB_012740,AFUB_028190,AFUB_029250,AFUB_030040,AFUB_059160,AFUB_065540,AFUB_071270,AFUB_099910,AFUB_100130,	19.6	10.33	13.38	1.48104923305e-07	6.44256416377e-05	6.44256416377e-05
GO:0046503	glycerolipid catabolic process	6	4	AFUB_030040,AFUB_059160,AFUB_071270,AFUB_099910,	66.7	35.18	106.54	1.79996840427e-06	0.000391493127928	0.000782986255856
GO:0044242	cellular lipid catabolic process	30	6	AFUB_028190,AFUB_029250,AFUB_030040,AFUB_059160,AFUB_071270,AFUB_099910,	20.0	10.55	13.47	1.69876607242e-05	0.00190526542597	0.00738963241505
GO:0019433	triglyceride catabolic process	4	3	AFUB_030040,AFUB_071270,AFUB_099910,	75.0	39.58	158.67	2.62795231169e-05	0.00190526542597	0.0114315925558
GO:0046464	acylglycerol catabolic process	4	3	AFUB_030040,AFUB_071270,AFUB_099910,	75.0	39.58	158.67	2.62795231169e-05	0.00190526542597	0.0114315925558
GO:0046461	neutral lipid catabolic process	4	3	AFUB_030040,AFUB_071270,AFUB_099910,	75.0	39.58	158.67	2.62795231169e-05	0.00190526542597	0.0114315925558
GO:1901575	organic substance catabolic process	515	24	AFUB_000120,AFUB_000160,AFUB_002520,AFUB_012740,AFUB_021280,AFUB_028190,AFUB_029250,AFUB_030040,AFUB_030140,AFUB_055920,AFUB_059160,AFUB_065540,AFUB_067250,AFUB_067260,AFUB_071270,AFUB_074720,AFUB_078210,AFUB_081630,AFUB_083960,AFUB_090600,AFUB_096090,AFUB_099910,AFUB_100130,AFUB_100920,	4.7	2.46	2.84	3.13251566445e-05	0.00194663473434	0.0136264431404
GO:0006639	acylglycerol metabolic process	5	3	AFUB_030040,AFUB_071270,AFUB_099910,	60.0	31.66	79.33	6.47853690152e-05	0.00281816355216	0.0281816355216
GO:0006638	neutral lipid metabolic process	5	3	AFUB_030040,AFUB_071270,AFUB_099910,	60.0	31.66	79.33	6.47853690152e-05	0.00281816355216	0.0281816355216
GO:0006641	triglyceride metabolic process	5	3	AFUB_030040,AFUB_071270,AFUB_099910,	60.0	31.66	79.33	6.47853690152e-05	0.00281816355216	0.0281816355216
