ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0044550	secondary metabolite biosynthetic process	168	23	AFUB_036230,AFUB_036240,AFUB_036270,AFUB_036280,AFUB_036290,AFUB_041040,AFUB_043760,AFUB_044830,AFUB_046390,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_075760,AFUB_079710,AFUB_079760,AFUB_081350,AFUB_086680,AFUB_086830,AFUB_086850,	13.7	4.74	5.85	3.77356105538e-10	1.86791272241e-07	1.86791272241e-07
GO:0019748	secondary metabolic process	179	23	AFUB_036230,AFUB_036240,AFUB_036270,AFUB_036280,AFUB_036290,AFUB_041040,AFUB_043760,AFUB_044830,AFUB_046390,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_075760,AFUB_079710,AFUB_079760,AFUB_081350,AFUB_086680,AFUB_086830,AFUB_086850,	12.8	4.45	5.43	1.3580095722e-09	3.36107369118e-07	6.72214738237e-07
GO:0055085	transmembrane transport	587	40	AFUB_000270,AFUB_001570,AFUB_005210,AFUB_009810,AFUB_010780,AFUB_025700,AFUB_033520,AFUB_033970,AFUB_036290,AFUB_041130,AFUB_041930,AFUB_044920,AFUB_045800,AFUB_047020,AFUB_048240,AFUB_048970,AFUB_049180,AFUB_050080,AFUB_060870,AFUB_060880,AFUB_066140,AFUB_075760,AFUB_079540,AFUB_079760,AFUB_081190,AFUB_081210,AFUB_081390,AFUB_082870,AFUB_084410,AFUB_086780,AFUB_087020,AFUB_087490,AFUB_088060,AFUB_091700,AFUB_096340,AFUB_097110,AFUB_099430,AFUB_099620,AFUB_100400,AFUB_102050,	6.8	2.36	2.79	2.06188490909e-07	3.40211009999e-05	0.000102063303
GO:0009403	toxin biosynthetic process	65	10	AFUB_036230,AFUB_036270,AFUB_046390,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_075760,AFUB_079710,AFUB_081350,AFUB_086850,	15.4	5.32	6.36	1.46696805194e-05	0.00145229837142	0.00726149185712
GO:0009404	toxin metabolic process	65	10	AFUB_036230,AFUB_036270,AFUB_046390,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_075760,AFUB_079710,AFUB_081350,AFUB_086850,	15.4	5.32	6.36	1.46696805194e-05	0.00145229837142	0.00726149185712
GO:0043385	mycotoxin metabolic process	22	6	AFUB_036230,AFUB_036270,AFUB_071780,AFUB_071790,AFUB_075760,AFUB_081350,	27.3	9.44	12.94	2.74803906376e-05	0.00166193090776	0.0136027933656
GO:0043386	mycotoxin biosynthetic process	22	6	AFUB_036230,AFUB_036270,AFUB_071780,AFUB_071790,AFUB_075760,AFUB_081350,	27.3	9.44	12.94	2.74803906376e-05	0.00166193090776	0.0136027933656
GO:1900815	monodictyphenone biosynthetic process	23	6	AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	26.1	9.03	12.17	3.6289515461e-05	0.00166193090776	0.0179633101532
GO:1900813	monodictyphenone metabolic process	23	6	AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	26.1	9.03	12.17	3.6289515461e-05	0.00166193090776	0.0179633101532
GO:1905039	carboxylic acid transmembrane transport	58	9	AFUB_041130,AFUB_049180,AFUB_066140,AFUB_081190,AFUB_081390,AFUB_082870,AFUB_084410,AFUB_087020,AFUB_097110,	15.5	5.37	6.4	3.69317979502e-05	0.00166193090776	0.0182812399854
GO:1903825	organic acid transmembrane transport	58	9	AFUB_041130,AFUB_049180,AFUB_066140,AFUB_081190,AFUB_081390,AFUB_082870,AFUB_084410,AFUB_087020,AFUB_097110,	15.5	5.37	6.4	3.69317979502e-05	0.00166193090776	0.0182812399854
GO:0003333	amino acid transmembrane transport	51	8	AFUB_041130,AFUB_049180,AFUB_066140,AFUB_081190,AFUB_081390,AFUB_084410,AFUB_087020,AFUB_097110,	15.7	5.43	6.46	9.30909347751e-05	0.00384000105947	0.0460800127137
GO:0015849	organic acid transport	66	9	AFUB_041130,AFUB_049180,AFUB_066140,AFUB_081190,AFUB_081390,AFUB_082870,AFUB_084410,AFUB_087020,AFUB_097110,	13.6	4.72	5.49	0.000105069567491	0.00400072583909	0.0520094359082
GO:0006865	amino acid transport	57	8	AFUB_041130,AFUB_049180,AFUB_066140,AFUB_081190,AFUB_081390,AFUB_084410,AFUB_087020,AFUB_097110,	14.0	4.86	5.66	0.000208174942432	0.00736047117883	0.103046596504
GO:1901617	organic hydroxy compound biosynthetic process	110	11	AFUB_036240,AFUB_044830,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_087590,	10.0	3.46	3.88	0.000314337638833	0.0103731420815	0.155597131222
GO:0046189	phenol-containing compound biosynthetic process	50	7	AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	14.0	4.85	5.62	0.000529245857355	0.0163735437119	0.261976699391
GO:0046222	aflatoxin metabolic process	2	2	AFUB_071780,AFUB_071790,	100.0	34.61	inf	0.000831089878378	0.0228549716554	0.411389489797
GO:0045122	aflatoxin biosynthetic process	2	2	AFUB_071780,AFUB_071790,	100.0	34.61	inf	0.000831089878378	0.0228549716554	0.411389489797
GO:0042181	ketone biosynthetic process	55	7	AFUB_036240,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	12.7	4.4	5.03	0.000951644051923	0.024792831879	0.471063805702
GO:0042537	benzene-containing compound metabolic process	41	6	AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	14.6	5.06	5.9	0.00104717285174	0.0259175280806	0.518350561613
GO:0018958	phenol-containing compound metabolic process	59	7	AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	11.9	4.11	4.64	0.001451212999	0.034207163548	0.718350434507
GO:1901378	organic heteropentacyclic compound biosynthetic process	62	7	AFUB_046390,AFUB_051170,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_079710,AFUB_086850,	11.3	3.91	4.39	0.00194471645456	0.0437561202275	0.962634645006
GO:1901615	organic hydroxy compound metabolic process	159	12	AFUB_036240,AFUB_041040,AFUB_044830,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_087590,	7.5	2.61	2.85	0.00211800578021	0.0440392227286	1.0
GO:1901376	organic heteropentacyclic compound metabolic process	63	7	AFUB_046390,AFUB_051170,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_079710,AFUB_086850,	11.1	3.85	4.31	0.00213523504139	0.0440392227286	1.0
GO:0042180	cellular ketone metabolic process	67	7	AFUB_036240,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	10.4	3.62	4.02	0.00304539159283	0.060298753538	1.0
GO:0006040	amino sugar metabolic process	37	5	AFUB_025460,AFUB_049900,AFUB_052460,AFUB_083490,AFUB_090720,	13.5	4.68	5.35	0.00394333762069	0.0750750816247	1.0
GO:0036184	asperthecin biosynthetic process	13	3	AFUB_071780,AFUB_071800,AFUB_071810,	23.1	7.99	10.21	0.00549059458635	0.10066090075	1.0
GO:0036182	asperthecin metabolic process	14	3	AFUB_071780,AFUB_071800,AFUB_071810,	21.4	7.42	9.28	0.00684071638396	0.116914231751	1.0
GO:0006820	anion transport	42	5	AFUB_041130,AFUB_045240,AFUB_082870,AFUB_099430,AFUB_099620,	11.9	4.12	4.63	0.00684952064803	0.116914231751	1.0
GO:1901071	glucosamine-containing compound metabolic process	28	4	AFUB_049900,AFUB_052460,AFUB_083490,AFUB_090720,	14.3	4.94	5.69	0.00805023227841	0.132828832594	1.0
