ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0044550	secondary metabolite biosynthetic process	168	21	AFUB_036230,AFUB_036240,AFUB_036270,AFUB_036280,AFUB_036290,AFUB_041040,AFUB_043760,AFUB_046390,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_075760,AFUB_079710,AFUB_079760,AFUB_086680,AFUB_086830,AFUB_086850,	12.5	5.57	6.97	1.13162819601e-10	4.57177791189e-08	4.57177791189e-08
GO:0019748	secondary metabolic process	179	21	AFUB_036230,AFUB_036240,AFUB_036270,AFUB_036280,AFUB_036290,AFUB_041040,AFUB_043760,AFUB_046390,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_075760,AFUB_079710,AFUB_079760,AFUB_086680,AFUB_086830,AFUB_086850,	11.7	5.23	6.48	3.77245462106e-10	7.62035833453e-08	1.52407166691e-07
GO:0055085	transmembrane transport	587	35	AFUB_000270,AFUB_001570,AFUB_005210,AFUB_009810,AFUB_010780,AFUB_025700,AFUB_033520,AFUB_033970,AFUB_036290,AFUB_041130,AFUB_044920,AFUB_045800,AFUB_048240,AFUB_048970,AFUB_049180,AFUB_050080,AFUB_060870,AFUB_060880,AFUB_066140,AFUB_075760,AFUB_079540,AFUB_079760,AFUB_081190,AFUB_081210,AFUB_081390,AFUB_084410,AFUB_086780,AFUB_087020,AFUB_087490,AFUB_088060,AFUB_091700,AFUB_096340,AFUB_099430,AFUB_099620,AFUB_100400,	6.0	2.66	3.23	5.83889018534e-08	7.86303878292e-06	2.35891163488e-05
GO:1900815	monodictyphenone biosynthetic process	23	6	AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	26.1	11.62	15.91	8.59076163125e-06	0.000694133539805	0.00347066769902
GO:1900813	monodictyphenone metabolic process	23	6	AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	26.1	11.62	15.91	8.59076163125e-06	0.000694133539805	0.00347066769902
GO:0009404	toxin metabolic process	65	9	AFUB_036230,AFUB_036270,AFUB_046390,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_075760,AFUB_079710,AFUB_086850,	13.8	6.17	7.34	1.26653225283e-05	0.000730970043059	0.00511679030142
GO:0009403	toxin biosynthetic process	65	9	AFUB_036230,AFUB_036270,AFUB_046390,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_075760,AFUB_079710,AFUB_086850,	13.8	6.17	7.34	1.26653225283e-05	0.000730970043059	0.00511679030142
GO:0043385	mycotoxin metabolic process	22	5	AFUB_036230,AFUB_036270,AFUB_071780,AFUB_071790,AFUB_075760,	22.7	10.13	13.18	0.00010362830161	0.00452736222155	0.0418658338504
GO:0043386	mycotoxin biosynthetic process	22	5	AFUB_036230,AFUB_036270,AFUB_071780,AFUB_071790,AFUB_075760,	22.7	10.13	13.18	0.00010362830161	0.00452736222155	0.0418658338504
GO:0046189	phenol-containing compound biosynthetic process	50	7	AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	14.0	6.24	7.36	0.000112063421325	0.00452736222155	0.0452736222155
GO:0003333	amino acid transmembrane transport	51	7	AFUB_041130,AFUB_049180,AFUB_066140,AFUB_081190,AFUB_081390,AFUB_084410,AFUB_087020,	13.7	6.12	7.19	0.000127467753838	0.00468154295915	0.0514969725506
GO:1901617	organic hydroxy compound biosynthetic process	110	10	AFUB_036240,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_087590,	9.1	4.05	4.57	0.000168088023855	0.00565896346979	0.0679075616375
GO:0042181	ketone biosynthetic process	55	7	AFUB_036240,AFUB_071750,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,	12.7	5.67	6.59	0.000207215628763	0.00643962415542	0.0837151140204
GO:0006865	amino acid transport	57	7	AFUB_041130,AFUB_049180,AFUB_066140,AFUB_081190,AFUB_081390,AFUB_084410,AFUB_087020,	12.3	5.47	6.32	0.000260003696969	0.00689609116112	0.105041493576
