ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0019748	secondary metabolic process	179	26	AFUB_016800,AFUB_033290,AFUB_033730,AFUB_033740,AFUB_034510,AFUB_036560,AFUB_045560,AFUB_045790,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_071820,AFUB_078070,AFUB_079520,AFUB_079710,AFUB_079760,AFUB_086030,AFUB_086050,AFUB_086200,AFUB_086310,AFUB_100730,	14.5	4.64	5.79	3.9385388811e-11	1.89661401622e-08	2.6663908225e-08
GO:0044550	secondary metabolite biosynthetic process	168	25	AFUB_016800,AFUB_033290,AFUB_033730,AFUB_033740,AFUB_034510,AFUB_036560,AFUB_045560,AFUB_045790,AFUB_051170,AFUB_071740,AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_071820,AFUB_078070,AFUB_079520,AFUB_079710,AFUB_079760,AFUB_086030,AFUB_086200,AFUB_086310,AFUB_100730,	14.9	4.75	5.94	5.60299561659e-11	1.89661401622e-08	3.79322803243e-08
GO:1901617	organic hydroxy compound biosynthetic process	110	19	AFUB_016800,AFUB_033290,AFUB_033730,AFUB_033740,AFUB_034510,AFUB_045560,AFUB_051170,AFUB_055310,AFUB_071740,AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_086200,AFUB_086310,AFUB_100730,	17.3	5.52	6.94	9.68000807004e-10	2.18445515447e-07	6.55336546342e-07
GO:0046189	phenol-containing compound biosynthetic process	50	13	AFUB_016800,AFUB_033290,AFUB_033730,AFUB_071740,AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_086200,AFUB_100730,	26.0	8.3	11.45	2.52970659381e-09	4.28152841002e-07	1.71261136401e-06
GO:1900815	monodictyphenone biosynthetic process	23	9	AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_086200,AFUB_100730,	39.1	12.5	20.65	1.38353037844e-08	1.56108344367e-06	9.36650066201e-06
GO:1900813	monodictyphenone metabolic process	23	9	AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_086200,AFUB_100730,	39.1	12.5	20.65	1.38353037844e-08	1.56108344367e-06	9.36650066201e-06
GO:0018958	phenol-containing compound metabolic process	59	13	AFUB_016800,AFUB_033290,AFUB_033730,AFUB_071740,AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_086200,AFUB_100730,	22.0	7.04	9.2	2.24556650806e-08	2.17178360851e-06	1.52024852596e-05
GO:0042181	ketone biosynthetic process	55	12	AFUB_033290,AFUB_033730,AFUB_045560,AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_086200,AFUB_100730,	21.8	6.97	9.05	8.91785954875e-08	7.54673864313e-06	6.0373909145e-05
GO:1901615	organic hydroxy compound metabolic process	159	19	AFUB_016800,AFUB_033290,AFUB_033730,AFUB_033740,AFUB_034510,AFUB_045560,AFUB_051170,AFUB_055310,AFUB_071740,AFUB_071750,AFUB_071770,AFUB_071780,AFUB_071790,AFUB_071800,AFUB_071810,AFUB_079710,AFUB_086200,AFUB_086310,AFUB_100730,	11.9	3.82	4.48	4.59268212814e-07	3.45471755639e-05	0.000310924580075
GO:1901503	ether biosynthetic process	12	6	AFUB_034510,AFUB_051170,AFUB_079710,AFUB_086050,AFUB_086200,AFUB_086310,	50.0	15.97	31.73	6.97737252467e-07	4.7236811992e-05	0.00047236811992
