ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0019439	aromatic compound catabolic process	83	10	AFUB_021270,AFUB_021280,AFUB_021310,AFUB_047240,AFUB_061580,AFUB_066940,AFUB_066950,AFUB_094360,AFUB_100170,AFUB_100180,	12.0	5.64	6.63	9.51834712117e-06	0.00520653587528	0.00520653587528
GO:0009074	aromatic amino acid family catabolic process	21	5	AFUB_021270,AFUB_021280,AFUB_021310,AFUB_066940,AFUB_066950,	23.8	11.14	14.74	6.45316685506e-05	0.0176494113486	0.0352988226972
GO:0009072	aromatic amino acid family metabolic process	37	6	AFUB_001220,AFUB_021270,AFUB_021280,AFUB_021310,AFUB_066940,AFUB_066950,	16.2	7.59	9.17	0.000116357535111	0.0212158572353	0.063647571706
GO:1901361	organic cyclic compound catabolic process	79	8	AFUB_021270,AFUB_021280,AFUB_021310,AFUB_061580,AFUB_066940,AFUB_066950,AFUB_100170,AFUB_100180,	10.1	4.74	5.38	0.000262520139905	0.0358996291321	0.143598516528
GO:1901606	alpha-amino acid catabolic process	45	6	AFUB_019140,AFUB_021270,AFUB_021280,AFUB_021310,AFUB_066940,AFUB_066950,	13.3	6.24	7.28	0.000354065563141	0.0387347726076	0.193673863038
GO:0009166	nucleotide catabolic process	11	3	AFUB_061580,AFUB_100170,AFUB_100180,	27.3	12.76	17.49	0.00139258206594	0.111075280196	0.76174239007
GO:0006576	cellular biogenic amine metabolic process	24	4	AFUB_001220,AFUB_066940,AFUB_066950,AFUB_081260,	16.7	7.8	9.37	0.00152786993345	0.111075280196	0.835744853597
GO:0044248	cellular catabolic process	368	17	AFUB_019140,AFUB_021270,AFUB_021280,AFUB_021310,AFUB_025250,AFUB_030040,AFUB_047240,AFUB_061580,AFUB_066940,AFUB_066950,AFUB_073450,AFUB_076580,AFUB_078210,AFUB_084820,AFUB_094360,AFUB_100170,AFUB_100180,	4.6	2.16	2.36	0.00213508436429	0.111075280196	1.0
GO:0044106	cellular amine metabolic process	44	5	AFUB_001220,AFUB_061580,AFUB_066940,AFUB_066950,AFUB_081260,	11.4	5.32	6.03	0.00231812805552	0.111075280196	1.0
GO:1901292	nucleoside phosphate catabolic process	13	3	AFUB_061580,AFUB_100170,AFUB_100180,	23.1	10.8	13.98	0.00233908684089	0.111075280196	1.0
GO:0019433	triglyceride catabolic process	4	2	AFUB_025250,AFUB_030040,	50.0	23.4	46.37	0.00264669457639	0.111075280196	1.0
